步骤描述,源器件Label,源器件XY,体积（μL）,目标器件Label,目标器件XY,重复次数
加试剂1,reagents_1,1*4,300,reaction1,12*8,
加样品,sample_1,1*16,200,reaction1,12*8,1
振荡60s,,,,,,
加试剂2,reagents_2,1*4,100,reaction1,12*8,2
震荡60s,,,,,,1
磁性分离600s,,,,,,
去废液1,reaction1,12*8,〉600,waste1,1*4,
加试剂3,reagents_3,1*4,400,reaction1,12*8,1
振荡60s,,,,,,
加试剂4,reagents_4,1*4,200,reaction1,12*8,1
振荡60s,,,,,,
磁性分离300s,,,,,,
去废液2,reaction1,12*8,〉600,waste2,1*4,
加PcrMix,PcrMixtube,1*1,50,reaction1,12*8,
振荡60s,,,,,,
转移PCRmix,reaction1,12*8,50,PCRPlate,12*8,
Finish,,,,,,
